path,.,imageUrl,output
samples.382,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s480x480/91157553_2613650852286992_9037553433802202622_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=hqJRuYgcEzkAX9k4Oai&oh=0ebf4363d6c2f577dfd403cd89ebd0ca&oe=5EB86FBE,medical_mask
samples.384,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s480x480/90900029_502580873741083_2551524672947808311_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=HrtJjKFKN4QAX9V-R40&oh=28458a9e659b30536807bd85f7e4f0a5&oe=5EB94760,medical_mask
samples.388,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s480x480/90796849_516129449310347_5160350092357170700_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=N3P7AtAvDhwAX_4jXud&oh=8cd0d15468eed08ffa4a2ac5bbc62601&oe=5EB66925,medical_mask
samples.392,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/90430506_199496874803006_8275796957607706021_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=iCc7fYk_bh8AX_-tvqf&oh=027d3b1337d1946e75140b32e868fa8b&oe=5EB8778A,medical_mask
samples.394,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/90094728_211907213252259_8074285733370993540_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Tby7HVjmiBoAX9xJYeb&oh=91778657c7e04a150e22aac151597515&oe=5EB6EDB0,medical_mask
samples.400,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/84176922_254205752274231_2370084936187934230_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=07sW7_2d_qQAX8BCKc5&oh=af4c4d7a40d048c53fde2b432f1ebfa8&oe=5EB7940B,medical_mask
samples.430,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/e35/c0.179.1440.1440a/s150x150/91232559_2241147342860534_7328396910971874007_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=CEqrWmX4uykAX8nk2fS&oh=9a9b934d14e8f69062372ed1df43937f&oe=5EB6764A,medical_mask
samples.434,,https://instagram.fbed1-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/91982085_853455345132841_2906991444553569295_n.jpg?_nc_ht=instagram.fbed1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=h7zDEEbcqZUAX9-p754&oh=278d24330fa194cf7c03b11af0f519b8&oe=5EB94FF3,medical_mask
samples.438,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/92187212_144638373725138_8033865822159653487_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=wD2_UuQoZ8MAX8Hgo_c&oh=b4630e2014e7c34a27c9f6bae2d5a4e5&oe=5EB6F447,medical_mask
samples.440,,https://instagram.fbed1-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/c0.115.1440.1440a/s640x640/92506117_238944067479168_7593707719452368616_n.jpg?_nc_ht=instagram.fbed1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=nLtde754_9AAX9LZZEf&oh=e82cb137c0dce6d1fd8d67aeace0b9ba&oe=5EB820D4,medical_mask
samples.449,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s480x480/92236340_151568859719375_8173454648668420260_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=EVw9yqDzTFsAX-GS3Ry&oh=c225894bac40091940bcbc1a251febf7&oe=5EB80745,medical_mask
samples.458,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/92299811_502511097083690_2643950666004962422_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=DJ9xHpXnAnYAX-X13cU&oh=272c50a43ce3e49c42e8380b40c3a052&oe=5EB75C3C,medical_mask
samples.460,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/e35/c0.180.1440.1440a/s480x480/92218681_267799424230130_504177961979004427_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=i3UG2fASp1oAX_4a49q&oh=3ca40fedba4eb9e90841ab12d3f346b4&oe=5EB6214F,medical_mask
samples.462,,https://instagram.fbed1-1.fna.fbcdn.net/v/t51.2885-15/e35/c0.150.1440.1440a/s480x480/92288326_740068429731773_3001612703715579080_n.jpg?_nc_ht=instagram.fbed1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=G9TI3tmLnwgAX-J2ugt&oh=7ec226523cbbb5fa83b7d773b2b35c1a&oe=5EB659B1,medical_mask
samples.464,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/c0.16.1440.1440a/s480x480/92242853_3333852543309558_4932681558342218304_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=c2Jkp3oYpRQAX-3qiyO&oh=81345d2794adc1a5e4312fe6dde461ea&oe=5EB71C28,medical_mask
samples.468,,https://instagram.fbed1-1.fna.fbcdn.net/v/t51.2885-15/e35/c27.0.266.266a/92017081_229162871731476_2140275092566037898_n.jpg?_nc_ht=instagram.fbed1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=fpwLvscWmbEAX9KfjNy&oh=7a03fc67f34d3c41f644af22c054d1bb&oe=5EB95B1F,medical_mask
samples.470,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/c0.135.1080.1080a/s480x480/92403753_682358745639092_3882841998137954677_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=ObvhetmROAAAX9dpXff&oh=36268875b42ae9d33ae7f0d665557d88&oe=5EB723DD,medical_mask
samples.473,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/c0.179.1440.1440a/s480x480/92722569_869300943495345_6572527866201055046_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=wQBvB58WoM4AX9O1fjJ&oh=e1329ad34b86cf39f3dcfb5a251079b2&oe=5EB8099D,medical_mask
samples.475,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/c0.180.1440.1440a/s480x480/92460507_2878637225537915_5539099766922411481_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=CzcGI2fRgfAAX8WCuYG&oh=681477aeff6bf09ca64bdfc39c1cecfe&oe=5EB8455B,medical_mask
samples.479,,https://instagram.fbed1-1.fna.fbcdn.net/v/t51.2885-15/e35/c0.179.1431.1431a/s480x480/92951435_559221028065517_621044964429312788_n.jpg?_nc_ht=instagram.fbed1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=lbFGMw2DzhAAX_xl5eS&oh=c6f777d58e48549431457dad32f2a4a7&oe=5EB8D289,medical_mask
samples.482,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/c0.100.799.799a/s480x480/92633151_537318777212398_6145339224156678317_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=8m-b4Ml7p9EAX__ZzXS&oh=c56b752c71b01d73ac85fccc34b26ece&oe=5EB6D487,medical_mask
samples.489,,https://instagram.fbed1-1.fna.fbcdn.net/v/t51.2885-15/e35/c0.121.975.975a/s480x480/92476515_948360888912312_4150778541419562326_n.jpg?_nc_ht=instagram.fbed1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=eUiuThWB_-kAX-obPqn&oh=27ecfb1c444753f1bbdf60234c6fa35f&oe=5EB91116,medical_mask
samples.500,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/c0.135.1080.1080a/s480x480/92220161_828626257621699_387562822979130072_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=0FmsKRgmY30AX9R2oJt&oh=53347a721f1c18b1f2c896a4a9a460a8&oe=5EB73B1A,medical_mask
samples.505,,https://instagram.fbed1-2.fna.fbcdn.net/v/t51.2885-15/e35/c0.180.1440.1440a/s480x480/92511894_2817835521616612_892809960645226017_n.jpg?_nc_ht=instagram.fbed1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=5nWGHTRqHZwAX-OKk9T&oh=a12a48cd78a146e8ba133c470d84b67e&oe=5EB7DA22,medical_mask
samples.509,,https://instagram.fbed1-1.fna.fbcdn.net/v/t51.2885-15/e35/c0.169.1349.1349a/s480x480/92250598_108671533968517_3675734852694476601_n.jpg?_nc_ht=instagram.fbed1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ig6515vjAlwAX_bIIDb&oh=0f38aa29d10b89f44770115c637f6293&oe=5EB6310D,medical_mask
